Year,Host City,Date,Winner,Song,Song duration,Performer(s),Songwriter(s),Language,Points,Runner(s)-up,Margin
1956,Lugano,24 May,Switzerland,Refrain,Unknown,Lys Assia,Géo VoumardÉmile Gardaz,French,Not announced,Not announced,Not announced
1957,Frankfurt,3 March,Netherlands,Net als toen,Unknown,Corry Brokken,Guus JansenWilly van Hemert,Dutch,31,France,14
1958,Hilversum,12 March,France,"Dors, mon amour",Unknown,André Claveau,Hubert GiraudPierre Delanoë,French,27,Switzerland,3
1959,Cannes,11 March,Netherlands,Een beetje,Unknown,Teddy Scholten,Dick SchalliesWilly van Hemert,Dutch,21,United Kingdom,5
1960,London,29 March,France,Tom Pillibi,Unknown,Jacqueline Boyer,André PoppPierre Cour,French,32,United Kingdom,7
1961,Cannes,18 March,Luxembourg,Nous les amoureux,Unknown,Jean-Claude Pascal,Jacques DatinMaurice Vidalin,French,31,United Kingdom,7
1962,Luxembourg,18 March,France,Un premier amour,Unknown,Isabelle Aubret,Claude-Henri VicRoland Valade,French,26,Monaco,13
1963,London,23 March,Denmark,Dansevise,2:57,Grethe and Jørgen Ingmann,Otto FranckerSejr Volmer-Sørensen,Danish,42,Switzerland,2
1964,Copenhagen,21 March,Italy,Non ho l'età,3:10,Gigliola Cinquetti,Nicola SalernoMario Panzeri,Italian,49,United Kingdom,32
1965,Naples,20 March,Luxembourg,"Poupée de cire, poupée de son",2:34,France Gall,Serge Gainsbourg,French,32,United Kingdom,6
1966,Luxembourg,5 March,Austria,"Merci, Chérie",Unknown,Udo Jürgens,Udo JürgensThomas Hörbiger,German,31,Sweden,15
1967,Vienna,8 April,United Kingdom,Puppet on a String,2:21,Sandie Shaw,Bill MartinPhil Coulter,English,47,Ireland,25
1968,London,6 April,Spain,"La, la, la",Unknown,Massiel,Manuel de la CalvaRamón Arcusa (Dúo Dinámico),Spanish,29,United Kingdom,1
1969,Madrid,29 March,Spain,Vivo cantando,2:09,Salomé,María José de CeratoAniano Alcalde,Spanish,18,No runner-up,No runner-up
1969,Madrid,29 March,United Kingdom,Boom Bang-a-Bang,2:22,Lulu,Alan MoorhousePeter Warne,English,18,No runner-up,No runner-up
1969,Madrid,29 March,Netherlands,De troubadour,Unknown,Lenny Kuhr,David HartsemaLenny Kuhr,Dutch,18,No runner-up,No runner-up
1969,Madrid,29 March,France,"Un jour, un enfant",Unknown,Frida Boccara,Émile SternEddy Marnay,French,18,No runner-up,No runner-up
1970,Amsterdam,21 March,Ireland,All Kinds of Everything,3:00,Dana,Derry LindsayJackie Smith,English,32,United Kingdom,6
1971,Dublin,3 April,Monaco,"Un banc, un arbre, une rue",Unknown,Séverine,Jean-Pierre BourtayreYves Dessca,French,128,Spain,12
